AphiaID_accepted,ScientificName_accepted,obis_records,inf_epi,plank_larv,Bedrock,Cobbles,Large_VLarge_Boulders,Small_Boulders,Mud,Muddy_gravel,Muddy_sand,Sandy_mud,Coarse_sand,Fine_sand,Other_species,Pebbles,Artificial,Caves,Overhangs,Gravel_shingle,Algae,Mixed,Salt_marsh,Seagrass,Biogenic_reef,Under_boulders,Crevices,Rockpools,Pelagic,Mud_grav_sand,Sand_grav_mud,Maerl,Clay,Gravel_sand,Mud_sand_gravel,Strandline,biotic_SpeciesName,biotic_AphiaID,Phylum,Class,Order,Family
117870,Abietinaria abietina,3044,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abietinaria abietina,117870,Cnidaria,Hydrozoa,Leptothecata,Sertulariidae
141433,Abra alba,53938,Infaunal,Yes,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Abra alba,141433,Mollusca,Bivalvia,Cardiida,Semelidae
100930,Actinauge richardi,973,Epifaunal,Unknown,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actinauge richardi,100930,Cnidaria,Anthozoa,Actiniaria,Hormathiidae
445590,Adamsia palliata,863,Epifaunal,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Adamsia carciniopados,100931,Cnidaria,Anthozoa,Actiniaria,Hormathiidae
111597,Alcyonidium diaphanum,4869,Epifaunal,Yes,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcyonidium diaphanum,111597,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae
129769,Alkmaria romijni,2337,Infaunal,Yes,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alkmaria romijni,129769,Annelida,Polychaeta,Terebellida,Ampharetidae
101891,Ampelisca brevicornis,12960,Both,No,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ampelisca brevicornis,101891,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae
101896,Ampelisca diadema,4152,Epifaunal,No,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ampelisca diadema,101896,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae
101930,Ampelisca tenuicornis,9954,Epifaunal,No,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ampelisca tenuicornis,101930,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae
129777,Ampharete falcata,1917,Infaunal,No,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ampharete falcata,129777,Annelida,Polychaeta,Terebellida,Ampharetidae
100936,Amphianthus dohrnii,40,Epifaunal,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amphianthus dohrnii,100936,Cnidaria,Anthozoa,Actiniaria,Amphianthidae
125064,Amphipholis squamata,14592,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amphipholis squamata,125064,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae
125073,Amphiura chiajei,10270,Infaunal,Yes,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amphiura chiajei,125073,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae
125080,Amphiura filiformis,22073,Infaunal,Yes,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amphiura filiformis,125080,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae
124201,Antedon bifida,1004,Epifaunal,Yes,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Antedon bifida,124201,Echinodermata,Crinoidea,Comatulida,Antedonidae
129938,Aphelochaeta marioni,13221,Infaunal,Yes,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aphelochaeta marioni,129938,Annelida,Polychaeta,Terebellida,Cirratulidae
129840,Aphrodita aculeata,6006,Infaunal,Yes,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aphrodita aculeata,129840,Annelida,Polychaeta,Phyllodocida,Aphroditidae
138760,Aporrhais pespelecani,2068,Infaunal,Yes,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aporrhais pespelecani,138760,Mollusca,Gastropoda,Littorinimorpha,Aporrhaidae
138802,Arctica islandica,20859,Infaunal,Yes,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arctica islandica,138802,Mollusca,Bivalvia,Venerida,Arcticidae
129868,Arenicola marina,10579,Infaunal,Yes,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arenicola marina,129868,Annelida,Polychaeta,NA,Arenicolidae
